ID,biomeID,startX,startY,endX,endY
1,1,-500,-500,-483,500
2,2,-482,-500,-465,500
3,3,-500,-500,-301,500
4,4,-464,-500,-447,500
5,5,-446,-500,-429,500
6,6,-428,-500,-411,500
7,7,-410,-500,-393,500
8,8,-300,-500,-101,500
9,9,-392,-500,-375,500
10,10,-374,-500,-357,500
11,11,-356,-500,-339,500
12,12,-338,-500,-321,500
13,13,-320,-500,-303,500
14,14,-302,-500,-285,500
15,15,-284,-500,-267,500
16,16,-266,-500,-249,500
17,17,-500,-500,-335,500
18,18,-334,-500,-169,500
19,19,-168,-500,-3,500
20,20,-248,-500,-231,500
21,21,-230,-500,-213,500
22,22,-212,-500,-195,500
23,23,-194,-500,-177,500
24,24,-176,-500,-159,500
25,25,-158,-500,-141,500
26,26,-140,-500,-123,500
27,27,-122,-500,-105,500
28,28,-104,-500,-87,500
29,29,-86,-500,-69,500
30,30,-68,-500,-51,500
31,31,-50,-500,-33,500
32,32,-32,-500,-15,500
33,33,-14,-500,3,500
34,34,4,-500,21,500
35,35,-100,-500,99,500
36,36,22,-500,39,500
37,37,40,-500,57,500
38,38,58,-500,75,500
39,39,76,-500,93,500
40,40,94,-500,111,500
41,41,112,-500,129,500
42,42,130,-500,147,500
43,43,148,-500,165,500
44,44,-2,-500,163,500
45,45,166,-500,183,500
46,46,184,-500,201,500
47,47,202,-500,219,500
48,48,220,-500,237,500
49,49,100,-500,299,500
50,50,238,-500,255,500
51,51,256,-500,273,500
52,52,274,-500,291,500
53,53,292,-500,309,500
54,54,310,-500,327,500
55,55,328,-500,345,500
56,56,164,-500,329,500
57,57,330,-500,500,500
58,58,346,-500,363,500
59,59,300,-500,500,500
60,60,364,-500,381,500
61,61,382,-500,399,500
62,62,400,-500,417,500
63,63,418,-500,435,500
64,64,436,-500,500,500
