ID,mobID,actualHealth,coordinatesX,coordinatesY,holdingItem
1,3,3,180,40,
2,3,5,-165,-312,
3,3,4,405,450,
4,3,1,329,-78,
5,3,4,-330,-327,
6,3,4,-188,256,
7,3,4,-131,-36,
8,3,1,-74,290,
9,3,6,264,190,
10,3,3,437,49,
11,3,4,-431,-461,
12,3,2,-444,-414,
13,3,5,250,-375,
14,3,6,480,-27,
15,3,3,-426,-403,
16,3,3,15,174,
17,3,3,302,66,
18,3,3,-283,-273,
19,3,6,-381,4,
20,3,2,133,-38,
21,3,1,-106,96,
22,4,11,-494,388,8
23,4,11,-466,199,8
24,4,5,329,-96,8
25,4,14,-264,-414,8
26,4,19,-385,-4,8
27,4,18,489,429,
28,4,17,396,49,8
29,4,6,458,55,8
30,4,16,-151,25,8
31,4,6,-365,85,
32,4,9,400,474,8
33,4,8,74,-459,
34,4,7,-264,303,8
35,4,10,11,-364,
36,4,6,150,199,8
37,4,7,452,202,8
38,4,12,425,398,
39,4,8,-161,363,
40,4,18,390,220,8
41,4,13,-19,100,
42,4,20,-46,343,8
43,5,4,-288,403,
44,5,3,101,201,40
45,5,3,429,363,
46,5,3,-337,-137,
47,5,3,140,51,32
48,5,1,486,-286,
49,5,2,198,-214,
50,5,3,-313,-323,
51,5,2,-63,321,
52,5,2,202,-129,40
53,5,1,442,-79,
54,5,4,13,482,
55,5,3,297,-280,
56,5,2,133,376,
57,5,4,-494,31,
58,5,1,-75,-355,
59,5,3,-189,132,40
60,5,1,-146,334,32
61,5,1,163,274,
62,5,3,-146,280,32
63,5,3,118,-273,
64,5,2,154,-312,
65,5,4,150,-391,
66,5,2,283,125,40
67,5,3,-145,223,
68,5,2,-304,-298,
69,5,4,365,-163,
70,5,1,65,-53,
71,5,3,-483,425,40
72,6,5,-229,-103,
73,6,3,55,-326,
74,6,6,-126,182,
75,6,10,179,-126,
76,6,2,178,-36,
77,6,3,-439,468,
78,6,6,471,-417,
79,6,2,-306,326,
80,6,5,140,-393,
81,6,8,-229,281,
82,6,3,-291,299,
83,6,6,398,-463,
84,6,3,277,220,
85,6,5,164,448,
86,6,8,-483,-322,
87,6,4,-302,421,
88,6,6,156,437,
89,6,3,-48,-69,
90,6,3,375,492,
91,6,10,-107,275,
92,6,2,-473,-445,
93,6,6,-450,116,
94,6,2,464,41,
95,6,4,304,-315,
96,6,3,280,287,
97,6,4,441,-4,
98,6,3,-101,-304,
99,6,6,-382,-137,
100,6,2,13,-310,
101,6,10,-269,-61,
102,6,3,-231,-341,
103,6,10,173,-155,
104,6,5,377,-69,
105,8,28,-155,-56,
106,8,12,136,-443,
107,8,15,441,-232,
108,8,23,395,51,93
109,8,23,-75,127,
110,8,23,-210,493,
111,8,15,434,487,93
112,8,12,-390,361,93
113,8,28,-133,494,92
114,8,22,86,-92,
115,8,26,-377,-161,
116,8,7,204,-460,
117,8,20,305,124,92
118,8,25,182,-202,
119,8,23,497,-477,
120,8,12,379,24,92
121,8,24,-91,-448,
122,8,19,432,130,92
123,8,23,422,166,
124,8,29,81,52,
125,8,22,-219,-61,
126,8,19,230,-351,
127,8,24,59,-21,
128,8,11,-356,-203,
129,8,14,240,-458,
130,8,12,381,-379,93
131,8,28,-164,-51,
132,9,68,367,498,92
133,9,68,-498,381,93
134,9,44,114,401,
135,9,39,247,-203,92
136,9,77,245,-446,93
137,9,67,496,-217,93
138,9,78,-345,-231,92
139,9,76,-379,-323,
140,9,62,359,-452,
141,9,51,10,348,92
142,9,21,418,-143,92
143,9,58,409,46,
144,9,28,-418,114,
145,9,80,-73,467,
146,9,71,464,51,
147,9,64,415,-227,
148,9,43,-175,-142,93
149,9,34,207,-67,93
150,9,50,143,-51,93
151,9,40,-299,225,
152,9,66,88,202,
153,9,69,-374,131,92
154,9,80,-268,173,
155,9,67,-172,430,
156,9,38,209,-227,
157,9,53,-260,392,92
158,9,25,-184,-181,93
159,10,8,162,-397,
160,10,7,333,299,
161,10,20,-460,122,86
162,10,15,110,32,
163,10,6,442,-279,86
164,10,15,-413,408,86
165,10,11,-469,-166,
166,10,8,-31,205,86
167,10,19,4,499,
168,10,16,-359,57,
169,10,8,-484,384,
170,10,11,323,-363,86
171,10,6,-364,402,
172,10,11,-245,17,86
173,10,18,328,-71,
174,10,19,-66,-150,86
175,10,14,-44,234,86
176,10,14,63,-228,86
177,10,9,474,39,86
178,10,6,57,301,
179,10,5,197,13,
180,10,10,-406,-458,
181,10,5,11,441,86
182,10,20,-6,362,
183,10,16,-101,333,86
184,10,11,321,419,86
185,10,9,-293,-427,
186,10,20,-287,-420,
187,10,5,484,433,86
188,10,10,245,435,
189,10,17,13,300,
190,10,7,26,381,86
191,10,20,79,-273,86
192,10,17,461,-440,86
193,11,5,216,37,
194,11,8,-311,51,
195,11,3,257,390,
196,11,2,56,89,
197,11,4,-410,351,
198,11,3,-9,-328,
199,11,5,-308,-22,
200,11,2,-125,219,
201,11,7,367,328,
202,11,6,-385,-105,
203,11,7,-73,-1,
204,11,7,-246,-426,
205,11,3,-119,-396,
206,11,5,-368,-56,
207,11,2,-259,262,
208,11,4,438,191,
209,11,5,-416,119,
210,11,4,-326,64,
211,11,6,85,-395,
212,11,7,-178,213,
213,11,5,289,-493,
214,11,4,451,-107,
215,11,7,410,-86,
216,11,2,-360,-61,
217,11,4,-245,294,
218,11,7,-46,157,
219,11,6,-462,85,
